SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM6
Create Time: 2024-10-11, 17:27:34
Computer Name: VICTUS
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

1	17:26:24.711	0.00726310	WitMotion.exe	IRP_MJ_CREATE                       	COM6	SUCCESS	Port Opened	
2	17:26:24.721	0.00397940	WitMotion.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM6	SUCCESS	Baud Rate: 230400	
3	17:26:24.725	0.00000160	WitMotion.exe	IOCTL_SERIAL_SET_RTS                	COM6	SUCCESS		
4	17:26:24.725	0.00096930	WitMotion.exe	IOCTL_SERIAL_CLR_DTR                	COM6	SUCCESS		
5	17:26:24.726	0.00000160	WitMotion.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM6	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
6	17:26:24.726	0.00000770	WitMotion.exe	IOCTL_SERIAL_SET_CHARS              	COM6	SUCCESS	EofChar: 0x1A, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x1A, XonChar: 0x11, XoffChar: 0x13	
7	17:26:24.726	0.00298010	WitMotion.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM6	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x40, XonLimit: 17206, XoffLimit: 17206	
8	17:26:24.730	0.00297120	WitMotion.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM6	SUCCESS	Baud Rate: 230400	
9	17:26:24.732	0.00000100	WitMotion.exe	IOCTL_SERIAL_SET_RTS                	COM6	SUCCESS		
10	17:26:24.732	0.00000070	WitMotion.exe	IOCTL_SERIAL_CLR_DTR                	COM6	SUCCESS		
11	17:26:24.732	0.00000060	WitMotion.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM6	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
12	17:26:24.732	0.00000060	WitMotion.exe	IOCTL_SERIAL_SET_CHARS              	COM6	SUCCESS	EofChar: 0x1A, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x1A, XonChar: 0x11, XoffChar: 0x13	
13	17:26:24.732	0.00297690	WitMotion.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM6	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x40, XonLimit: 17206, XoffLimit: 17206	
14	17:26:24.735	0.00001000	WitMotion.exe	IOCTL_SERIAL_CLR_DTR                	COM6	SUCCESS		
15	17:26:24.735	0.00294780	WitMotion.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM6	SUCCESS	Baud Rate: 230400	
16	17:26:24.738	0.00099390	WitMotion.exe	IOCTL_SERIAL_CLR_RTS                	COM6	SUCCESS		
17	17:26:24.739	0.00000110	WitMotion.exe	IOCTL_SERIAL_CLR_DTR                	COM6	SUCCESS		
